omega,node,G_iw
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,396.54475237077776
1,10,0.0
1,11,179.97747732799613
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,393.63435012065906
1,25,873.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,610.4086885695051
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,691.1080019215935
1,46,0.0
1,47,0.0
1,48,120.816777472744
1,49,0.0
1,50,0.0
1,51,0.0
1,52,0.0
1,53,49.462645727998876
1,54,0.0
1,55,0.0
1,56,0.0
1,57,0.0
1,58,154.516253866862
1,59,0.0
1,60,44.92784522241194
1,61,0.0
1,62,0.0
1,63,0.0
1,64,34.397616997213966
1,65,170.291668912337
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,916.2
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,360.0
1,87,0.0
1,88,1136.9051720589875
1,89,0.0
1,90,0.0
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
1,97,0.0
1,98,0.0
1,99,1175.4
1,100,0.0
1,101,0.0
1,102,184.66119701940968
1,103,0.0
1,104,0.0
1,105,0.0
1,106,0.0
1,107,0.0
1,108,0.0
1,109,0.0
1,110,140.93561594023097
1,111,0.0
1,112,0.0
1,113,0.0
1,114,0.0
1,115,0.0
1,116,0.0
1,117,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,399.7818845183245
2,10,0.0
2,11,64.21353227822837
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,209.2139790149894
2,25,326.69198241628976
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,370.91331662870306
2,31,0.0
2,32,0.0
2,33,0.0
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,400.9457739018378
2,46,0.0
2,47,0.0
2,48,54.14486479420779
2,49,0.0
2,50,0.0
2,51,0.0
2,52,0.0
2,53,32.7122121153631
2,54,0.0
2,55,0.0
2,56,0.0
2,57,0.0
2,58,77.80477776765632
2,59,0.0
2,60,43.28940140214179
2,61,0.0
2,62,0.0
2,63,0.0
2,64,27.465402844739067
2,65,74.53334614900878
2,66,0.0
2,67,0.0
2,68,0.0
2,69,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
2,78,0.0
2,79,378.63830972215266
2,80,0.0
2,81,0.0
2,82,0.0
2,83,0.0
2,84,0.0
2,85,0.0
2,86,162.317203794809
2,87,0.0
2,88,844.2805092917603
2,89,0.0
2,90,0.0
